Time,Channel A,Channel D
(ms),(V),(V)
,,
3.22623828,-0.7825662,406.7269
3.23123828,-0.6348431,406.9711
3.23623828,-0.7300696,406.9711
3.24123828,-0.6488829,406.9711
3.24623828,-0.6983274,406.7269
3.25123828,-0.7337321,406.1775
3.25623828,-0.5994384,406.9711
3.26123828,-0.6946648,406.9711
3.26623828,-0.5151996,406.9711
3.27123828,-0.7123672,406.4217
3.27623828,-0.7190819,406.9711
3.28123828,-0.6702478,406.9711
3.28623828,-0.7337321,406.7269
3.29123828,-0.6592602,406.7269
3.29623828,-0.627518,406.4217
3.30123828,-0.6385057,406.7269
3.30623828,-0.6769625,406.9711
3.31123828,-0.6702478,406.9711
3.31623828,-0.6769625,406.9711
3.32123828,-0.6592602,406.7269
3.32623828,-0.656208,406.7269
3.33123828,-0.656208,406.4217
3.33623828,-0.5853986,406.9711
3.34123828,-0.6244659,406.4217
3.34623828,-0.6879502,406.7269
3.35123828,-0.5957758,406.9711
3.35623828,-0.6769625,407.2763
3.36123828,-0.6806251,407.2763
3.36623828,-0.5890611,406.7269
3.37123828,-0.581736,407.5204
3.37623828,-0.5536565,406.9711
3.38123828,-0.6702478,406.9711
3.38623828,-0.6385057,407.2763
3.39123828,-0.342449,406.9711
3.39623828,-0.656208,406.9711
3.40123828,-0.3741912,406.7269
3.40623828,-0.6769625,406.9711
3.41123828,-0.7685264,406.7269
3.41623828,-0.6098157,407.2763
3.42123828,-0.7190819,406.9711
3.42623828,-0.6098157,407.2763
3.43123828,-0.6592602,407.2763
3.43623828,-0.6311805,406.9711
3.44123828,-0.6702478,406.9711
3.44623828,-0.6665853,406.9711
3.45123828,-0.6879502,407.2763
3.45623828,-0.6629227,406.9711
3.46123828,-0.4303504,406.7269
3.46623828,-0.6134782,407.2763
3.47123828,-0.3284092,407.5204
3.47623828,-0.6415578,407.2763
3.48123828,-0.6488829,407.2763
3.48623828,-0.6452203,407.2763
3.49123828,-0.6702478,407.2763
3.49623828,-0.603101,406.9711
3.50123828,-0.603101,407.2763
3.50623828,-0.70199,407.2763
3.51123828,-0.6098157,407.2763
3.51623828,-0.627518,406.9711
3.52123828,-0.6067635,406.9711
3.52623828,-0.5432792,406.7269
3.53123828,-0.6733,406.7269
3.53623828,-0.6488829,406.9711
3.54123828,-0.4688072,406.9711
3.54623828,-0.6385057,406.9711
3.55123828,-0.581736,406.7269
3.55623828,-0.6244659,406.7269
3.56123828,-0.6311805,406.7269
3.56623828,-0.6946648,406.9711
3.57123828,-0.5957758,406.9711
3.57623828,-0.6702478,406.9711
3.58123828,-0.5713588,406.9711
3.58623828,-0.7300696,406.9711
3.59123828,-0.5750214,406.9711
3.59623828,-0.6910023,407.2763
3.60123828,-0.5396166,406.7269
3.60623828,-0.7898914,406.9711
3.61123827,-0.4266878,406.9711
3.61623827,-0.6171408,406.7269
3.62123827,-0.5676962,406.4217
3.62623827,-0.6525455,406.9711
3.63123827,-0.603101,406.7269
3.63623827,-0.7337321,406.4217
3.64123827,-0.5609816,407.2763
3.64623827,-0.6488829,406.7269
3.65123827,-0.5994384,407.2763
